"UniqueID","Probability1"
6533,0
6534,0.12
6535,1
6536,0.36
6537,0.08
6538,1
6539,0.52
6540,0
6541,0.12
6542,0
6543,0
6544,0.72
6545,0
6546,0
6547,0
6548,1
6549,1
6550,0.36
6551,0.04
6552,0
6553,0
6554,0.08
6555,1
6556,0
6557,0
6558,0.12
6559,0
6560,0.92
6561,0.96
6562,0
6563,0
6564,0
6565,0
6566,0
6567,0.04
6568,0.72
6569,0.68
6570,0
6571,0.16
6572,0.8
6573,0.92
6574,1
6575,0
6576,0.88
6577,0
6578,0
6579,0.16
6580,0
6581,0.44
6582,0
6583,0
6584,0.4
6585,0
6586,0
6587,0.6
6588,0
6589,0
6590,0.2
6591,1
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0.28
6598,0
6599,0
6600,1
6601,0.12
6602,0
6603,0
6604,0
6605,0.56
6606,0.44
6607,0
6608,0.8
6609,1
6610,0
6611,0
6612,0.48
6613,0
6614,0
6615,0
6616,0.08
6617,0
6618,0.16
6619,0.12
6620,0
6621,0
6622,0.16
6623,0
6624,0.12
6625,0.08
6626,0
6627,0
6628,0
6629,0
6630,0
6631,0
6632,0.64
6633,0.76
6634,0
6635,0.52
6636,0.56
6637,0.56
6638,0.6
6639,0.48
6640,0.6
6641,0.76
6642,0.16
6643,0.28
6644,0.52
6645,0.04
6646,0.28
6647,0
6648,0.08
6649,0.32
6650,0.88
6651,0
6652,0
6653,0
6654,0
6655,0.08
6656,0
6657,0
6658,0
6659,0
6660,0.2
6661,0
6662,0
6663,0
6664,0.08
6665,0
6666,0
6667,0.04
6668,0
6669,0
6670,0.92
6671,0.92
6672,0
6673,0.4
6674,0.08
6675,0
6676,0
6677,0
6678,0
6679,0
6680,0.88
6681,0
6682,0
6683,0
6684,0.2
6685,0
6686,0
6687,0
6688,0.88
6689,0
6690,0
6691,0.04
6692,0.4
6693,0
6694,0.6
6695,0.04
6696,0
6697,0.28
6698,0
6699,0.36
6700,0
6701,0.72
6702,0
6703,0
6704,0.04
6705,0
6706,0
6707,0.28
6708,0
6709,0
6710,0
6711,0
6712,0
6713,0
6714,0
6715,0
6716,0
6717,0
6718,0.32
6719,0
6720,0.48
6721,0
6722,0
6723,1
6724,0.08
6725,0.84
6726,0
6727,0.12
6728,0.92
6729,0
6730,0
6731,0.56
6732,0
6733,0
6734,0
6735,0
6736,0
6737,0
6738,0.64
6739,0.28
6740,0
6741,0.08
6742,0
6743,0.08
6744,0.08
6745,0.24
6746,0
6747,0
6748,0.12
6749,0
6750,0.76
6751,0
6752,0.48
6753,0.32
6754,0
6755,0
6756,0
6757,0.44
6758,0.4
6759,0
6760,0
6761,0
6762,0
6763,0
6764,0.84
6765,0
6766,0
6767,0
6768,0.04
6769,0
6770,0
6771,0
6772,0.12
6773,0
6774,0
6775,0.76
