"UniqueID","Probability1"
6533,0
6534,0.178
6535,0.996
6536,0.37
6537,0.032
6538,0.996
6539,0.532
6540,0.01
6541,0.048
6542,0
6543,0.002
6544,0.698
6545,0
6546,0
6547,0
6548,0.988
6549,0.996
6550,0.372
6551,0.026
6552,0.008
6553,0
6554,0.022
6555,0.996
6556,0
6557,0
6558,0.132
6559,0
6560,0.924
6561,0.838
6562,0.006
6563,0
6564,0
6565,0
6566,0.014
6567,0.09
6568,0.808
6569,0.696
6570,0
6571,0.06
6572,0.618
6573,0.916
6574,0.996
6575,0
6576,0.742
6577,0
6578,0
6579,0.1
6580,0
6581,0.406
6582,0.002
6583,0
6584,0.28
6585,0
6586,0
6587,0.52
6588,0
6589,0
6590,0.382
6591,0.97
6592,0.014
6593,0
6594,0
6595,0.004
6596,0
6597,0.098
6598,0
6599,0
6600,0.84
6601,0.084
6602,0
6603,0
6604,0.028
6605,0.438
6606,0.606
6607,0
6608,0.72
6609,1
6610,0
6611,0
6612,0.51
6613,0
6614,0.016
6615,0
6616,0.062
6617,0.008
6618,0.112
6619,0.134
6620,0.004
6621,0.026
6622,0.18
6623,0
6624,0.008
6625,0.014
6626,0
6627,0
6628,0
6629,0
6630,0
6631,0.008
6632,0.224
6633,0.844
6634,0
6635,0.624
6636,0.514
6637,0.654
6638,0.608
6639,0.12
6640,0.54
6641,0.744
6642,0.278
6643,0.576
6644,0.616
6645,0.022
6646,0.082
6647,0.014
6648,0.084
6649,0.348
6650,0.812
6651,0
6652,0.01
6653,0.044
6654,0
6655,0.106
6656,0.024
6657,0.01
6658,0
6659,0
6660,0.314
6661,0
6662,0
6663,0
6664,0.202
6665,0.004
6666,0
6667,0.038
6668,0.008
6669,0
6670,0.906
6671,0.86
6672,0
6673,0.276
6674,0.096
6675,0
6676,0
6677,0
6678,0
6679,0
6680,0.854
6681,0
6682,0.002
6683,0.04
6684,0.332
6685,0
6686,0
6687,0.008
6688,0.782
6689,0
6690,0
6691,0.188
6692,0.446
6693,0
6694,0.786
6695,0.122
6696,0
6697,0.264
6698,0
6699,0.358
6700,0
6701,0.744
6702,0
6703,0
6704,0.034
6705,0.002
6706,0
6707,0.168
6708,0.002
6709,0
6710,0
6711,0.014
6712,0
6713,0.02
6714,0.032
6715,0.028
6716,0
6717,0.002
6718,0.158
6719,0
6720,0.594
6721,0
6722,0
6723,1
6724,0.03
6725,0.692
6726,0
6727,0.076
6728,0.886
6729,0
6730,0
6731,0.464
6732,0
6733,0
6734,0.004
6735,0.006
6736,0
6737,0
6738,0.348
6739,0.412
6740,0
6741,0.068
6742,0
6743,0.01
6744,0.03
6745,0.286
6746,0.002
6747,0
6748,0.108
6749,0
6750,0.866
6751,0
6752,0.372
6753,0.488
6754,0.01
6755,0
6756,0.032
6757,0.47
6758,0.418
6759,0
6760,0.114
6761,0.042
6762,0.002
6763,0
6764,0.826
6765,0.01
6766,0
6767,0.024
6768,0.132
6769,0.012
6770,0.044
6771,0.004
6772,0.052
6773,0
6774,0
6775,0.836
6776,0.048
6777,0
6778,0
6779,0.146
6780,0.984
6781,0.364
6782,0.178
6783,0
6784,0
6785,0.39
6786,0
6787,0.848
6788,0.206
6789,0.068
6790,0.01
6791,0
6792,0
6793,0.192
6794,0
6795,0.114
6796,0
6797,0.002
6798,0.002
6799,0.034
6800,0.324
6801,0.046
6802,0.008
6803,0
6804,0
6805,0
6806,0
6807,0.684
6808,1
6809,0
6810,0.998
6811,0
6812,0.352
6813,0
6814,0.014
6815,0.044
6816,0.362
6817,0.07
6818,0.002
6819,0.978
6820,0.048
6821,0.004
6822,0.018
6823,0.454
6824,0.898
6825,0.998
6826,0
6827,0
6828,0
6829,0.37
6830,0.048
6831,0.034
6832,0.076
6833,0
6834,0.04
6835,0.84
6836,0.026
6837,0.016
6838,0
6839,0.002
6840,0
6841,0
6842,0.004
6843,0
6844,0.91
6845,0.998
6846,0
6847,0.64
6848,0.022
6849,0.02
6850,0.034
6851,0
6852,0.602
6853,0
6854,0.02
6855,0
6856,0
6857,0.324
6858,0
6859,0.45
6860,0.806
6861,0
6862,0
6863,0.08
6864,0.576
6865,0.022
6866,0.96
6867,0.738
6868,0.042
6869,0.762
6870,0.046
6871,0
6872,0.016
6873,0.042
6874,0.324
6875,0
6876,0
6877,0.006
6878,0.108
6879,0
6880,0
6881,0
6882,0
6883,0
6884,0
6885,0.91
6886,0.002
6887,0
6888,0.032
6889,0
6890,0.002
6891,0.066
6892,0
6893,0.018
6894,0
6895,0
6896,0
6897,0.036
6898,0.018
6899,0
6900,0
6901,0
6902,0
6903,0.188
6904,0.95
6905,0
6906,0
6907,0.142
6908,0
6909,0
6910,0
6911,0
6912,0
6913,0.142
6914,0
6915,0
6916,0
6917,0
6918,0.24
6919,0.13
6920,0.02
6921,0.584
6922,0.218
6923,0
6924,0.006
6925,0.61
6926,0
6927,0.374
6928,0
6929,0
6930,0.004
6931,0
6932,0
6933,0.04
6934,0.876
6935,0.134
6936,0
6937,0
6938,0.244
6939,0.002
6940,0.692
6941,0.262
6942,0
6943,0.802
6944,0.002
6945,0.032
6946,0.014
6947,0.116
6948,0
6949,0.05
6950,0.032
6951,0.214
6952,0.05
6953,0.572
6954,0
6955,0.226
6956,0.8
6957,0
6958,0
6959,0
6960,0.056
6961,0
6962,0
6963,0.44
6964,0.03
6965,0.024
6966,0.25
6967,0.692
6968,0.196
6969,0.002
6970,0
6971,0.002
6972,0.32
6973,0.07
6974,0
6975,0.02
6976,0.012
6977,0
6978,0
6979,0.006
6980,0
6981,0.008
6982,0.304
6983,0.002
6984,0
6985,0.044
6986,0.006
6987,0
6988,0
6989,0.004
6990,0.768
6991,0.014
6992,0
6993,0.056
6994,0.016
6995,0.002
6996,0.002
6997,0
6998,0
6999,0
7000,0.038
7001,0.004
7002,0.848
7003,0.916
7004,0.05
7005,0.992
7006,0
7007,0
7008,0.034
7009,0.67
7010,0
7011,0.058
7012,0.804
7013,0.02
7014,0.416
7015,0
7016,0.896
7017,0.242
7018,0.294
7019,0.012
7020,0.008
7021,0.8
7022,0.868
7023,0.796
7024,0.99
7025,0.008
7026,0.992
7027,0.066
7028,0.01
7029,0
7030,0.868
7031,0
7032,0.122
7033,0.01
7034,0.37
7035,0.452
7036,0.084
7037,1
7038,0.014
7039,0.042
7040,0.138
7041,0
7042,0
7043,0.184
7044,0.78
7045,0.124
7046,0
7047,0.998
7048,0.628
7049,0.018
7050,0
7051,0.054
7052,0.406
7053,0.014
7054,0.094
7055,0.008
7056,0.166
7057,0.146
7058,0.25
7059,0
7060,0
7061,0.97
7062,0.002
7063,0
7064,0.296
7065,0.282
7066,0.054
7067,0.016
7068,0
7069,0
7070,0.308
7071,0.284
7072,0.978
7073,0.832
7074,0.004
7075,0.008
7076,0
7077,0
7078,0.774
7079,0.46
7080,0.008
7081,0.054
7082,0.67
7083,0
7084,0.658
7085,0
7086,0
7087,0.996
7088,0
7089,0.61
7090,0
7091,0
7092,0.306
7093,0.016
7094,0
7095,0.936
7096,0
7097,0.894
7098,0.058
7099,0
7100,0
7101,0
7102,0
7103,0.536
7104,0.012
7105,0
7106,0.022
7107,0.012
7108,0.114
7109,0.004
7110,0
7111,0
7112,0.02
7113,0.002
7114,0
7115,0
7116,0.188
7117,0.018
7118,0.046
7119,0
7120,1
7121,0.35
7122,0.316
7123,0.014
7124,0.28
7125,0
7126,0.004
7127,0.062
7128,0.004
7129,0
7130,0.01
7131,0.994
7132,0.274
7133,0.102
7134,0
7135,0.012
7136,0.102
7137,0.002
7138,0.206
7139,0.004
7140,0.024
7141,0.762
7142,0
7143,0.028
7144,0
7145,0.808
7146,0.004
7147,0
7148,0.812
7149,0.002
7150,0.794
7151,0.322
7152,0.012
7153,0.492
7154,0.012
7155,0.136
7156,0.026
7157,0
7158,0.43
7159,0
7160,0
7161,0.008
7162,0.362
7163,0
7164,0
7165,0
7166,0
7167,0
7168,0
7169,0
7170,0
7171,0
7172,0
7173,0.002
7174,0
7175,0.208
7176,0.528
7177,0.002
7178,0.474
7179,0.03
7180,0.776
7181,0.21
7182,0.038
7183,0
7184,0
7185,0.812
7186,0.146
7187,0
7188,0.85
7189,0
7190,0
7191,0
7192,0.012
7193,0
7194,0.04
7195,0
7196,0.032
7197,0.012
7198,0.012
7199,0
7200,0
7201,0
7202,0.01
7203,0.16
7204,0
7205,0
7206,0
7207,0
7208,0.674
7209,0.006
7210,0.4
7211,0
7212,0
7213,0.05
7214,0.002
7215,0
7216,0.024
7217,0.404
7218,0.914
7219,0
7220,0.354
7221,0
7222,0.114
7223,0.012
7224,0
7225,0.462
7226,0
7227,0.152
7228,0.058
7229,0.814
7230,0.19
7231,0
7232,0.588
7233,0.33
7234,0.274
7235,0
7236,0
7237,0
7238,0.792
7239,0
7240,0
7241,0
7242,0.914
7243,0.006
7244,0
7245,0.05
7246,0.002
7247,0.006
7248,0.776
7249,0
7250,0.248
7251,0.03
7252,0.116
7253,0
7254,0.272
7255,0.408
7256,0.394
7257,0
7258,0.996
7259,0.012
7260,0
7261,0.014
7262,0.65
7263,0.03
7264,0.326
7265,0.302
7266,0.32
7267,0
7268,0.322
7269,0
7270,0
7271,0.044
7272,0.002
7273,0.274
7274,0.398
7275,0.01
7276,0
7277,0.022
7278,0
7279,0.162
7280,0
7281,0
7282,0.292
7283,0.008
7284,0
7285,0.028
7286,0.052
7287,0
7288,0.074
7289,0
7290,0.67
7291,0.432
7292,0
7293,0.006
7294,0.002
7295,0.05
7296,0
7297,0
7298,0.068
7299,0.016
7300,0
7301,0.004
7302,0.036
7303,0
7304,0
7305,0
7306,0
7307,0.504
7308,0.832
7309,0
7310,0
7311,0
7312,0.186
7313,0.23
7314,0.974
7315,0
7316,0.278
7317,0.424
7318,0.012
7319,0
7320,0
7321,0
7322,0.004
7323,0.002
7324,0.022
7325,0
7326,0.076
7327,0
7328,0
7329,0.008
7330,0.098
7331,0
7332,0.054
7333,0.31
7334,0.036
7335,0
7336,0
7337,0.376
7338,0.01
7339,0
7340,0
7341,0
7342,0.18
7343,0.022
7344,0.564
7345,0
7346,0
7347,0.052
7348,0
7349,0.968
7350,0.004
7351,0.226
7352,0
7353,0
7354,0.046
7355,0.952
7356,0.254
7357,0.688
7358,0.006
7359,0.196
7360,0.004
7361,0
7362,0
7363,0
7364,0
7365,0.004
7366,0.068
7367,0.236
7368,0
7369,0.002
7370,0
7371,0
7372,0
7373,0
7374,0.01
7375,0.298
7376,0.022
7377,0.022
7378,0
7379,0.002
7380,0.08
7381,0.01
7382,0.608
7383,0
7384,0.108
7385,0
7386,0.028
7387,0.016
7388,0.004
7389,0.006
7390,0.322
7391,0
7392,0.008
7393,0.614
7394,0.006
7395,0
7396,0
7397,0.082
7398,0
7399,0.134
7400,0
7401,0.008
7402,0
7403,0.002
7404,0.06
7405,0.174
7406,0
7407,0
7408,0.024
7409,0
7410,0.006
7411,0.944
7412,0.082
7413,0.052
7414,0
7415,0.856
7416,0.204
7417,0.048
7418,0
7419,0.242
7420,0
7421,0
7422,0
7423,0
7424,0.002
7425,0
7426,0
7427,0
7428,0
7429,0.204
7430,0.758
7431,0.002
7432,0.004
7433,0.25
7434,0.006
7435,0
7436,0.154
7437,0.378
7438,0.246
7439,0.366
7440,0.02
7441,0.068
7442,0.002
7443,0.358
7444,0
7445,0.366
7446,0
7447,0.576
7448,0
7449,0.2
7450,0.012
7451,0
7452,0
7453,0.006
7454,0.102
7455,0.046
7456,0
7457,0
7458,0
7459,0.154
7460,0.008
7461,0.002
7462,0
7463,0.186
7464,0
7465,0
7466,0
7467,0
7468,0.134
7469,0
7470,0.71
7471,0.37
7472,0.104
7473,0.138
7474,0.994
7475,0.108
7476,0.006
7477,0
7478,0.004
7479,0
7480,0.402
7481,0
7482,0
7483,0.006
7484,0.026
7485,0.062
7486,0
7487,0.028
7488,0.024
7489,0.002
7490,0.07
7491,0
7492,0
7493,0
7494,0
7495,0.776
7496,0.824
7497,0.036
7498,0.368
7499,0.028
7500,0.45
7501,0.008
7502,0.928
7503,0.938
7504,0
7505,0.308
7506,0.07
7507,0.946
7508,0.02
7509,0.384
7510,0.008
7511,0.556
7512,0.02
7513,0.82
7514,0.08
7515,0.04
7516,0.018
7517,0.04
7518,0.038
7519,0.904
7520,0.444
7521,0.474
7522,0.01
7523,0
7524,0.37
7525,0
7526,0.006
7527,1
7528,0.016
7529,0.36
7530,0.002
7531,0.094
7532,0.26
7533,0.662
7534,0.594
7535,0.07
7536,0.712
7537,0
7538,0.996
7539,0.348
7540,0
7541,0.416
7542,0.874
7543,0.086
7544,0.948
7545,0
7546,0
7547,0.004
7548,0
7549,0.054
7550,0
7551,0.004
7552,0.016
7553,0.01
7554,0
7555,0.914
7556,0.074
7557,0.296
7558,0.674
7559,0.374
7560,0
7561,0.75
7562,0.324
7563,0.002
7564,0
7565,0
7566,0.004
7567,0
7568,0.018
7569,0.726
7570,0
7571,0.022
7572,0.53
7573,0.996
7574,0.034
7575,0
7576,0
7577,0
7578,0.778
7579,0
7580,0
7581,0.282
7582,0
7583,0.024
7584,0.798
7585,0.996
7586,0.172
7587,0.002
7588,0
7589,0
7590,0
7591,0
7592,0
7593,0
7594,0.004
7595,0
7596,0.03
7597,0.012
7598,0.024
7599,0.002
7600,0.128
7601,0.006
7602,0.016
7603,0
7604,0
7605,0.022
7606,0.02
7607,0
7608,0
7609,0.016
7610,0
7611,0.44
7612,0
7613,0
