"UniqueID","Probability1"
6533,0.012
6534,0.036
6535,0.976
6536,0.052
6537,0.304
6538,0.932
6539,0.972
6540,0.014
6541,0.02
6542,0
6543,0.022
6544,0.984
6545,0
6546,0
6547,0
6548,0.932
6549,0.932
6550,0.17
6551,0.302
6552,0
6553,0.006
6554,0.018
6555,0.93
6556,0
6557,0
6558,0.348
6559,0
6560,0.986
6561,0.454
6562,0
6563,0
6564,0
6565,0
6566,0.01
6567,0.082
6568,0.992
6569,0.992
6570,0
6571,0.012
6572,0.718
6573,0.992
6574,0.932
6575,0
6576,0.708
6577,0
6578,0
6579,0.018
6580,0
6581,0.766
6582,0.002
6583,0
6584,0.056
6585,0
6586,0.006
6587,0.168
6588,0
6589,0
6590,0.102
6591,0.902
6592,0.002
6593,0
6594,0
6595,0
6596,0
6597,0.01
6598,0
6599,0
6600,0.57
6601,0.038
6602,0
6603,0
6604,0.02
6605,0.068
6606,0.992
6607,0.002
6608,0.99
6609,0.952
6610,0
6611,0
6612,0.086
6613,0.004
6614,0.044
6615,0
6616,0.014
6617,0.006
6618,0.006
6619,0.042
6620,0
6621,0.012
6622,0.008
6623,0
6624,0
6625,0
6626,0
6627,0
6628,0
6629,0
6630,0
6631,0.002
6632,0.132
6633,0.76
6634,0.004
6635,0.336
6636,0.226
6637,0.302
6638,0.318
6639,0.016
6640,0.168
6641,0.296
6642,0.17
6643,0.32
6644,0.314
6645,0.066
6646,0.304
6647,0
6648,0.004
6649,0.132
6650,0.992
6651,0
6652,0
6653,0.004
6654,0.01
6655,0.062
6656,0.004
6657,0.002
6658,0
6659,0
6660,0.41
6661,0
6662,0
6663,0.01
6664,0.3
6665,0
6666,0
6667,0.028
6668,0.004
6669,0.004
6670,0.98
6671,0.982
6672,0
6673,0.042
6674,0.036
6675,0.002
6676,0
6677,0.002
6678,0
6679,0
6680,0.904
6681,0
6682,0
6683,0.002
6684,0.608
6685,0
6686,0
6687,0.004
6688,0.99
6689,0
6690,0
6691,0.05
6692,0.112
6693,0
6694,0.988
6695,0.04
6696,0
6697,0.654
6698,0.028
6699,0.026
6700,0
6701,0.234
6702,0
6703,0.02
6704,0.008
6705,0.008
6706,0
6707,0.156
6708,0.004
6709,0
6710,0
6711,0.002
6712,0
6713,0.002
6714,0.012
6715,0
6716,0
6717,0
6718,0.044
6719,0.004
6720,0.99
6721,0
6722,0
6723,0.972
6724,0.004
6725,0.564
6726,0
6727,0.158
6728,0.97
6729,0
6730,0
6731,0.156
6732,0
6733,0.004
6734,0
6735,0
6736,0
6737,0
6738,0.026
6739,0.13
6740,0
6741,0.016
6742,0
6743,0
6744,0.008
6745,0.136
6746,0
6747,0
6748,0.008
6749,0.002
6750,0.97
6751,0
6752,0.23
6753,0.282
6754,0.004
6755,0
6756,0
6757,0.34
6758,0.114
6759,0
6760,0.012
6761,0.008
6762,0
6763,0
6764,0.996
6765,0.004
6766,0
6767,0.004
6768,0.122
6769,0.014
6770,0.008
6771,0.004
6772,0
6773,0
6774,0
6775,0.87
6776,0
6777,0
6778,0
6779,0.044
6780,1
6781,0.202
6782,0.016
6783,0
6784,0
6785,0.026
6786,0.014
6787,0.992
6788,0.042
6789,0.002
6790,0.026
6791,0
6792,0
6793,0.066
6794,0
6795,0.102
6796,0
6797,0.004
6798,0.002
6799,0.014
6800,0.032
6801,0.018
6802,0
6803,0
6804,0
6805,0
6806,0
6807,0.586
6808,0.978
6809,0
6810,0.986
6811,0
6812,0.044
6813,0
6814,0
6815,0.024
6816,0.08
6817,0.008
6818,0
6819,0.99
6820,0.004
6821,0.004
6822,0.004
6823,0.164
6824,0.834
6825,0.956
6826,0
6827,0
6828,0
6829,0.062
6830,0.004
6831,0.004
6832,0.016
6833,0
6834,0.004
6835,0.992
6836,0
6837,0.01
6838,0.004
6839,0
6840,0
6841,0
6842,0.002
6843,0
6844,0.976
6845,0.956
6846,0
6847,0.332
6848,0
6849,0
6850,0.038
6851,0
6852,0.98
6853,0
6854,0.022
6855,0
6856,0.002
6857,0.044
6858,0
6859,0.978
6860,0.632
6861,0
6862,0
6863,0.046
6864,0.382
6865,0
6866,0.984
6867,0.284
6868,0
6869,0.63
6870,0.004
6871,0.01
6872,0
6873,0.042
6874,0.088
6875,0
6876,0
6877,0.012
6878,0.356
6879,0.012
6880,0
6881,0.01
6882,0
6883,0
6884,0
6885,0.94
6886,0
6887,0
6888,0.01
6889,0.002
6890,0
6891,0
6892,0.002
6893,0.008
6894,0
6895,0
6896,0.002
6897,0
6898,0
6899,0
6900,0
6901,0
6902,0
6903,0.068
6904,0.904
6905,0.01
6906,0
6907,0.028
6908,0
6909,0
6910,0
6911,0
6912,0
6913,0.036
6914,0
6915,0
6916,0
6917,0
6918,0.184
6919,0.018
6920,0.038
6921,0.924
6922,0.034
6923,0
6924,0
6925,0.61
6926,0
6927,0.818
6928,0
6929,0
6930,0.016
6931,0.002
6932,0
6933,0
6934,0.992
6935,0.378
6936,0
6937,0
6938,0.028
6939,0.002
6940,0.984
6941,0.068
6942,0
6943,0.914
6944,0.03
6945,0.006
6946,0.004
6947,0.022
6948,0
6949,0.016
6950,0.208
6951,0.052
6952,0.026
6953,0.694
6954,0
6955,0.06
6956,0.984
6957,0
6958,0
6959,0.002
6960,0.21
6961,0.01
6962,0
6963,0.114
6964,0.002
6965,0.002
6966,0.088
6967,0.984
6968,0.052
6969,0
6970,0
6971,0.004
6972,0.698
6973,0.012
6974,0
6975,0
6976,0.004
6977,0.002
6978,0
6979,0.028
6980,0
6981,0
6982,0.126
6983,0
6984,0
6985,0.006
6986,0.004
6987,0
6988,0
6989,0
6990,0.998
6991,0.002
6992,0.002
6993,0.008
6994,0.008
6995,0
6996,0
6997,0
6998,0
6999,0
7000,0.014
7001,0.002
7002,0.974
7003,0.996
7004,0.536
7005,0.948
7006,0
7007,0
7008,0
7009,0.976
7010,0
7011,0.028
7012,0.988
7013,0.018
7014,0.372
7015,0.012
7016,0.604
7017,0.352
7018,0.146
7019,0.026
7020,0.018
7021,0.984
7022,0.99
7023,0.992
7024,0.96
7025,0.128
7026,0.998
7027,0.048
7028,0
7029,0
7030,0.698
7031,0
7032,0.214
7033,0.01
7034,0.052
7035,0.04
7036,0.012
7037,0.958
7038,0.012
7039,0.018
7040,0.004
7041,0
7042,0
7043,0.032
7044,0.24
7045,0.018
7046,0
7047,0.954
7048,0.964
7049,0.144
7050,0
7051,0.004
7052,0.108
7053,0.01
7054,0.008
7055,0.002
7056,0.134
7057,0
7058,0.046
7059,0
7060,0
7061,0.996
7062,0
7063,0.008
7064,0.058
7065,0.022
7066,0.082
7067,0.006
7068,0
7069,0
7070,0.096
7071,0.05
7072,0.88
7073,0.478
7074,0
7075,0.038
7076,0
7077,0
7078,0.156
7079,0.192
7080,0
7081,0.304
7082,0.724
7083,0
7084,0.978
7085,0
7086,0.01
7087,0.98
7088,0
7089,0.494
7090,0
7091,0
7092,0.018
7093,0.004
7094,0
7095,0.818
7096,0
7097,0.988
7098,0.016
7099,0
7100,0.008
7101,0
7102,0
7103,0.264
7104,0.006
7105,0
7106,0
7107,0
7108,0.008
7109,0
7110,0
7111,0.002
7112,0.002
7113,0
7114,0
7115,0
7116,0.096
7117,0.002
7118,0.006
7119,0
7120,0.944
7121,0.162
7122,0.026
7123,0.006
7124,0.156
7125,0
7126,0.006
7127,0.004
7128,0
7129,0
7130,0.006
7131,0.93
7132,0.072
7133,0.002
7134,0.006
7135,0
7136,0.114
7137,0.018
7138,0.112
7139,0.004
7140,0.01
7141,0.95
7142,0.002
7143,0.108
7144,0
7145,0.906
7146,0.002
7147,0
7148,0.998
7149,0
7150,0.744
7151,0.604
7152,0.002
7153,0.08
7154,0
7155,0.036
7156,0.03
7157,0
7158,0.076
7159,0
7160,0
7161,0.002
7162,0.076
7163,0.002
7164,0
7165,0
7166,0
7167,0
7168,0
7169,0
7170,0
7171,0.014
7172,0
7173,0
7174,0
7175,0.048
7176,0.214
7177,0.004
7178,0.984
7179,0.01
7180,0.99
7181,0.488
7182,0.012
7183,0
7184,0
7185,0.992
7186,0.032
7187,0
7188,0.212
7189,0
7190,0
7191,0.008
7192,0
7193,0.002
7194,0
7195,0
7196,0.006
7197,0
7198,0.004
7199,0
7200,0
7201,0
7202,0.004
7203,0.026
7204,0
7205,0
7206,0.006
7207,0.006
7208,0.722
7209,0
7210,0.072
7211,0
7212,0.004
7213,0.012
7214,0.004
7215,0
7216,0
7217,0.114
7218,0.998
7219,0
7220,0.04
7221,0
7222,0.046
7223,0.004
7224,0
7225,0.334
7226,0
7227,0.01
7228,0.002
7229,0.99
7230,0.104
7231,0
7232,0.028
7233,0.092
7234,0.48
7235,0
7236,0
7237,0
7238,0.984
7239,0.004
7240,0.004
7241,0.006
7242,0.96
7243,0.008
7244,0.002
7245,0.006
7246,0.002
7247,0.004
7248,0.574
7249,0
7250,0.046
7251,0.014
7252,0.018
7253,0
7254,0.074
7255,0.27
7256,0.092
7257,0
7258,0.99
7259,0.004
7260,0.004
7261,0
7262,0.082
7263,0.016
7264,0.05
7265,0.024
7266,0.046
7267,0
7268,0.084
7269,0
7270,0
7271,0.004
7272,0.002
7273,0.072
7274,0.126
7275,0.004
7276,0
7277,0.004
7278,0.008
7279,0.066
7280,0
7281,0
7282,0.026
7283,0.006
7284,0
7285,0.012
7286,0.016
7287,0
7288,0.362
7289,0
7290,0.58
7291,0.122
7292,0.008
7293,0
7294,0.002
7295,0.012
7296,0
7297,0
7298,0.012
7299,0.002
7300,0
7301,0.002
7302,0.006
7303,0.004
7304,0
7305,0
7306,0
7307,0.586
7308,0.46
7309,0
7310,0
7311,0.002
7312,0.112
7313,0.038
7314,0.942
7315,0
7316,0.25
7317,0.032
7318,0.028
7319,0.004
7320,0
7321,0.01
7322,0.012
7323,0.024
7324,0.026
7325,0
7326,0.04
7327,0
7328,0.012
7329,0.002
7330,0.05
7331,0
7332,0.064
7333,0.054
7334,0.038
7335,0.016
7336,0.002
7337,0.088
7338,0.026
7339,0.024
7340,0
7341,0
7342,0.214
7343,0.002
7344,0.98
7345,0
7346,0
7347,0.016
7348,0
7349,0.994
7350,0.004
7351,0.06
7352,0
7353,0
7354,0.006
7355,0.988
7356,0.03
7357,0.858
7358,0.012
7359,0.04
7360,0
7361,0
7362,0
7363,0
7364,0
7365,0
7366,0
7367,0.026
7368,0
7369,0.004
7370,0
7371,0
7372,0
7373,0.008
7374,0.012
7375,0.594
7376,0.02
7377,0.02
7378,0
7379,0.008
7380,0.028
7381,0.014
7382,0.724
7383,0
7384,0.034
7385,0
7386,0.052
7387,0.02
7388,0.002
7389,0.002
7390,0.082
7391,0
7392,0
7393,0.66
7394,0
7395,0
7396,0.002
7397,0.002
7398,0
7399,0.024
7400,0
